title,href,dealDate,totalPrice,positionInfo,unitPrice,dealHouseTxt
金地艺境 2室1厅 88.65平米,https://wh.lianjia.com/chengjiao/104104681701.html,2020.08.14,170万,中楼层(共34层) 2015年建板楼,19177元/平,房屋满两年近地铁
金地艺境 3室1厅 110.04平米,https://wh.lianjia.com/chengjiao/104102805180.html,2020.08.04,219万,低楼层(共34层) 2014年建板楼,19902元/平,房屋满两年
金地艺境 2室2厅 87.95平米,https://wh.lianjia.com/chengjiao/104104703942.html,2020.08.02,169万,高楼层(共32层) 2014年建板楼,19216元/平,房屋满两年
金地艺境 2室2厅 89平米,https://wh.lianjia.com/chengjiao/104102680743.html,2020.07.30,168万,低楼层(共32层) 2015年建板楼,18877元/平,房屋满五年近地铁
金地艺境 4室2厅 123.58平米,https://wh.lianjia.com/chengjiao/104104631002.html,2020.07.26,264万,中楼层(共30层) 2013年建板楼,21363元/平,房屋满两年
金地艺境 2室2厅 88.8平米,https://wh.lianjia.com/chengjiao/104104628814.html,2020.07.25,167万,低楼层(共34层) 2014年建板楼,18807元/平,房屋满两年
金地艺境 2室2厅 89.23平米,https://wh.lianjia.com/chengjiao/104104195292.html,2020.07.24,170万,高楼层(共30层) 2013年建板楼,18996元/平,房屋满两年
金地艺境 2室2厅 89.41平米,https://wh.lianjia.com/chengjiao/104104614112.html,2020.07.19,174万,中楼层(共32层) 2014年建板楼,19417元/平,近地铁
金地艺境 3室2厅 110.89平米,https://wh.lianjia.com/chengjiao/104104416736.html,2020.07.18,232万,高楼层(共34层) 2015年建板楼,20922元/平,近地铁
金地艺境 2室2厅 89.47平米,https://wh.lianjia.com/chengjiao/104103928218.html,2020.07.09,173万,中楼层(共30层) 2013年建板楼,19337元/平,房屋满两年
金地艺境 2室2厅 88.8平米,https://wh.lianjia.com/chengjiao/104104017129.html,2020.07.07,172万,高楼层(共34层) 2014年建板楼,19370元/平,
金地艺境 2室2厅 87.51平米,https://wh.lianjia.com/chengjiao/104104516489.html,2020.07.05,172万,高楼层(共33层) 2014年建板楼,19598元/平,房屋满两年
金地艺境 2室2厅 87.95平米,https://wh.lianjia.com/chengjiao/104104304782.html,2020.07.01,167万,中楼层(共32层) 2014年建板楼,18989元/平,房屋满两年
金地艺境 4室2厅 139.37平米,https://wh.lianjia.com/chengjiao/104101847984.html,2020.06.21,348万,高楼层(共11层) 2014年建板楼,24970元/平,房屋满五年
金地艺境 2室2厅 89.45平米,https://wh.lianjia.com/chengjiao/104104409808.html,2020.06.21,162万,低楼层(共32层) 2014年建板楼,18111元/平,房屋满两年近地铁
金地艺境 4室2厅 122.87平米,https://wh.lianjia.com/chengjiao/104104171807.html,2020.06.20,272万,中楼层(共34层) 2014年建板楼,22138元/平,房屋满两年近地铁
金地艺境 2室2厅 88.8平米,https://wh.lianjia.com/chengjiao/104103862760.html,2020.06.20,166万,中楼层(共34层) 2014年建板楼,18694元/平,
金地艺境 2室2厅 88.04平米,https://wh.lianjia.com/chengjiao/104104333984.html,2020.06.20,156万,低楼层(共32层) 2015年建板楼,17720元/平,近地铁
金地艺境 4室2厅 123.18平米,https://wh.lianjia.com/chengjiao/104104280188.html,2020.06.03,239万,高楼层(共30层) 2014年建板楼,19362元/平,
金地艺境 2室2厅 88.19平米,https://wh.lianjia.com/chengjiao/104103851121.html,2020.05.25,159万,中楼层(共32层) 2014年建板楼,18030元/平,房屋满两年
金地艺境 2室2厅 88.41平米,https://wh.lianjia.com/chengjiao/104104097281.html,2020.05.23,172万,高楼层(共34层) 2013年建板楼,19455元/平,房屋满五年近地铁
金地艺境 3室2厅 110.76平米,https://wh.lianjia.com/chengjiao/104103926071.html,2020.05.18,231万,高楼层(共34层) 2014年建板楼,20856元/平,房屋满两年近地铁
金地艺境 2室2厅 89.14平米,https://wh.lianjia.com/chengjiao/104103917497.html,2020.05.10,161万,中楼层(共30层) 2014年建板楼,18062元/平,房屋满两年
金地艺境 2室2厅 88.04平米,https://wh.lianjia.com/chengjiao/104103579858.html,2020.04.30,168万,低楼层(共32层) 2015年建板楼,19083元/平,近地铁
金地艺境 4室2厅 123.18平米,https://wh.lianjia.com/chengjiao/104103803291.html,2020.04.26,221万,低楼层(共32层) 2015年建板楼,17942元/平,房屋满两年近地铁
金地艺境 4室1厅 122.48平米,https://wh.lianjia.com/chengjiao/104102766913.html,2020.04.22,265万,低楼层(共30层) 2014年建板楼,21637元/平,
金地艺境 2室2厅 88.8平米,https://wh.lianjia.com/chengjiao/104103393006.html,2020.04.19,160万,高楼层(共34层) 2014年建板楼,18019元/平,房屋满两年
金地艺境 2室2厅 89.14平米,https://wh.lianjia.com/chengjiao/104101922522.html,2020.04.13,165万,低楼层(共30层) 2014年建板楼,18511元/平,
金地艺境 2室2厅 88.8平米,https://wh.lianjia.com/chengjiao/104102576873.html,2020.01.07,154万,低楼层(共34层) 2014年建板楼,17343元/平,房屋满两年
金地艺境 4室2厅 122.48平米,https://wh.lianjia.com/chengjiao/104103397242.html,2020.01.07,250万,低楼层(共30层) 2014年建板楼,20412元/平,
金地艺境 2室2厅 89.45平米,https://wh.lianjia.com/chengjiao/104102849382.html,2019.12.18,159万,高楼层(共32层) 2014年建板楼,17776元/平,房屋满两年近地铁
金地艺境 2室2厅 89.23平米,https://wh.lianjia.com/chengjiao/104103235487.html,2019.12.15,156万,高楼层(共30层) 2013年建板楼,17427元/平,
金地艺境 2室2厅 88.8平米,https://wh.lianjia.com/chengjiao/104103067851.html,2019.12.05,154万,低楼层(共34层) 2014年建板楼,17343元/平,
金地艺境 4室2厅 123.18平米,https://wh.lianjia.com/chengjiao/104100991811.html,2019.11.11,250万,高楼层(共30层) 2014年建板楼,20296元/平,房屋满两年
金地艺境 2室2厅 88.61平米,https://wh.lianjia.com/chengjiao/104103023231.html,2019.11.06,163万,高楼层(共34层) 2013年建板楼,18396元/平,房屋满两年近地铁
金地艺境 2室2厅 88.65平米,https://wh.lianjia.com/chengjiao/104103098065.html,2019.10.31,170万,高楼层(共34层) 2015年建板楼,19177元/平,近地铁
金地艺境 2室2厅 89.45平米,https://wh.lianjia.com/chengjiao/104102962934.html,2019.10.20,163万,低楼层(共32层) 2014年建板楼,18223元/平,近地铁
金地艺境 2室2厅 88.88平米,https://wh.lianjia.com/chengjiao/104102283212.html,2019.10.20,168万,中楼层(共34层) 2015年建板楼,18902元/平,房屋满两年近地铁
金地艺境 3室2厅 107.17平米,https://wh.lianjia.com/chengjiao/104102756864.html,2019.10.19,274万,低楼层(共6层) 2015年建板楼,25549元/平,
金地艺境 2室2厅 88.27平米,https://wh.lianjia.com/chengjiao/104102834539.html,2019.10.15,159万,中楼层(共32层) 2015年建板楼,17957元/平,近地铁
金地艺境 2室2厅 88.61平米,https://wh.lianjia.com/chengjiao/104102712165.html,2019.10.08,161万,高楼层(共34层) 2013年建板楼,18170元/平,近地铁
金地艺境 2室1厅 88.65平米,https://wh.lianjia.com/chengjiao/104102262434.html,2019.10.05,162万,低楼层(共34层) 2014年建板楼,18218元/平,房屋满两年近地铁
金地艺境 2室2厅 89.21平米,https://wh.lianjia.com/chengjiao/104102769578.html,2019.09.29,158万,中楼层(共32层) 2014年建板楼,17712元/平,近地铁
金地艺境 2室2厅 89.2平米,https://wh.lianjia.com/chengjiao/104102732439.html,2019.09.28,153万,高楼层(共34层) 2014年建板楼,17108元/平,
金地艺境 2室2厅 88.91平米,https://wh.lianjia.com/chengjiao/104102880487.html,2019.09.23,162万,高楼层(共30层) 2014年建板楼,18221元/平,房屋满两年
金地艺境 4室2厅 122.87平米,https://wh.lianjia.com/chengjiao/104102840197.html,2019.09.18,254万,低楼层(共34层) 2014年建板楼,20673元/平,近地铁
金地艺境 2室2厅 89平米,https://wh.lianjia.com/chengjiao/104101374527.html,2019.09.16,168万,中楼层(共30层) 2013年建板楼,18877元/平,
金地艺境 2室1厅 88.31平米,https://wh.lianjia.com/chengjiao/104102670679.html,2019.08.19,165万,中楼层(共34层) 2014年建板楼,18685元/平,房屋满两年近地铁
金地艺境 2室2厅 88.19平米,https://wh.lianjia.com/chengjiao/104102497607.html,2019.07.31,156万,低楼层(共32层) 2014年建板楼,17633元/平,
金地艺境 2室2厅 89.47平米,https://wh.lianjia.com/chengjiao/104102568073.html,2019.07.28,171万,中楼层(共30层) 2013年建板楼,19113元/平,房屋满两年
金地艺境 3室2厅 110.89平米,https://wh.lianjia.com/chengjiao/104100839249.html,2019.07.21,233万,高楼层(共34层) 2015年建板楼,20994元/平,房屋满两年近地铁
金地艺境 2室2厅 89.2平米,https://wh.lianjia.com/chengjiao/104101799953.html,2019.06.30,165万,高楼层(共34层) 2014年建板楼,18498元/平,房屋满两年
金地艺境 4室2厅 143.32平米,https://wh.lianjia.com/chengjiao/104101675627.html,2019.06.27,325万,高楼层(共34层) 2014年建板楼,22677元/平,
金地艺境 4室2厅 125.33平米,https://wh.lianjia.com/chengjiao/104102110000.html,2019.06.24,247万,中楼层(共32层) 2014年建板楼,19708元/平,近地铁
金地艺境 2室2厅 88.91平米,https://wh.lianjia.com/chengjiao/104102306778.html,2019.06.20,161万,中楼层(共30层) 2014年建板楼,18109元/平,房屋满两年
金地艺境 2室2厅 88.91平米,https://wh.lianjia.com/chengjiao/104101403007.html,2019.06.08,162万,高楼层(共30层) 2014年建板楼,18165元/平,房屋满两年
金地艺境 3室2厅 110.89平米,https://wh.lianjia.com/chengjiao/104101752740.html,2019.06.04,215万,低楼层(共34层) 2014年建板楼,19389元/平,近地铁
金地艺境 4室2厅 122.88平米,https://wh.lianjia.com/chengjiao/104101420445.html,2019.05.31,253万,中楼层(共30层) 2014年建板楼,20590元/平,房屋满两年
金地艺境 3室2厅 110.89平米,https://wh.lianjia.com/chengjiao/104101993130.html,2019.05.14,208万,低楼层(共34层) 2015年建板楼,18758元/平,房屋满两年近地铁
金地艺境 2室2厅 89.45平米,https://wh.lianjia.com/chengjiao/104101168301.html,2019.05.12,163万,中楼层(共32层) 2015年建板楼,18223元/平,近地铁
金地艺境 4室2厅 122.81平米,https://wh.lianjia.com/chengjiao/104101796817.html,2019.05.12,263万,高楼层(共32层) 2014年建板楼,21416元/平,房屋满两年
金地艺境 2室1厅 87.28平米,https://wh.lianjia.com/chengjiao/104101983238.html,2019.05.07,163万,高楼层(共33层) 2015年建板楼,18676元/平,房屋满两年
金地艺境 2室2厅 88.65平米,https://wh.lianjia.com/chengjiao/104101762845.html,2019.04.28,161万,中楼层(共34层) 2015年建板楼,18162元/平,近地铁
金地艺境 2室1厅 88.62平米,https://wh.lianjia.com/chengjiao/104102030149.html,2019.04.23,155万,中楼层(共32层) 2015年建板楼,17491元/平,
金地艺境 5室2厅 222.83平米,https://wh.lianjia.com/chengjiao/104101037231.html,2019.03.25,476万,中楼层(共6层) 2013年建板楼,21362元/平,房屋满两年
金地艺境 4室2厅 223.08平米,https://wh.lianjia.com/chengjiao/104101026550.html,2019.03.11,510万,高楼层(共6层) 2013年建板楼,22862元/平,
金地艺境 4室2厅 147.23平米,https://wh.lianjia.com/chengjiao/104101408172.html,2019.03.11,362万,中楼层(共11层) 2014年建板楼,24588元/平,
金地艺境 2室2厅 89.21平米,https://wh.lianjia.com/chengjiao/104101777250.html,2019.03.03,163万,中楼层(共32层) 2015年建板楼,18216元/平,近地铁
金地艺境 2室2厅 88.65平米,https://wh.lianjia.com/chengjiao/104101778283.html,2019.02.24,158万,低楼层(共32层) 2015年建板楼,17823元/平,近地铁
金地艺境 2室2厅 89.23平米,https://wh.lianjia.com/chengjiao/104101488713.html,2019.02.17,161万,低楼层(共30层) 2014年建板楼,17988元/平,房屋满两年
金地艺境 2室2厅 88.41平米,https://wh.lianjia.com/chengjiao/104101426423.html,2018.12.30,171万,高楼层(共34层) 2014年建板楼,19342元/平,房屋满两年近地铁
金地艺境 2室1厅 89.45平米,https://wh.lianjia.com/chengjiao/104101122413.html,2018.12.23,149万,高楼层(共32层) 2015年建板楼,16658元/平,近地铁
金地艺境 2室1厅 87.51平米,https://wh.lianjia.com/chengjiao/104101499586.html,2018.12.09,184万,高楼层(共33层) 2014年建板楼,20947元/平,房屋满两年
金地艺境 2室2厅 89.45平米,https://wh.lianjia.com/chengjiao/104101217522.html,2018.10.07,175万,高楼层(共32层) 2015年建板楼,19565元/平,房屋满两年近地铁
金地艺境 2室2厅 89.45平米,https://wh.lianjia.com/chengjiao/104101317555.html,2018.09.16,179万,高楼层(共32层) 2015年建板楼,20012元/平,近地铁
金地艺境 2室2厅 88.2平米,https://wh.lianjia.com/chengjiao/104101116674.html,2018.08.26,183万,高楼层(共34层) 2013年建板楼,20749元/平,近地铁
金地艺境 4室2厅 123.97平米,https://wh.lianjia.com/chengjiao/104101202160.html,2018.08.25,250万,低楼层(共30层) 2014年建板楼,20167元/平,
金地艺境 4室2厅 125平米,https://wh.lianjia.com/chengjiao/104101075196.html,2018.07.21,259万,高楼层(共34层) 2015年建板楼,20720元/平,近地铁
金地艺境 2室2厅 88.04平米,https://wh.lianjia.com/chengjiao/104101014103.html,2018.06.11,180万,低楼层(共32层) 2015年建板楼,20446元/平,近地铁
金地艺境 2室2厅 88.61平米,https://wh.lianjia.com/chengjiao/104100988805.html,2018.05.22,185万,中楼层(共34层) 2013年建板楼,20879元/平,房屋满两年近地铁
金地艺境 2室2厅 88.31平米,https://wh.lianjia.com/chengjiao/104100948181.html,2018.05.19,180万,中楼层(共34层) 2014年建板楼,20383元/平,房屋满两年近地铁
金地艺境 2室2厅 88.41平米,https://wh.lianjia.com/chengjiao/104100850500.html,2018.03.15,175万,高楼层(共34层) 2013年建板楼,19795元/平,房屋满两年近地铁
金地艺境 4室2厅 121.47平米,https://wh.lianjia.com/chengjiao/104100799014.html,2018.03.04,248万,高楼层(共34层) 2013年建板楼,20417元/平,近地铁
金地艺境 2室2厅 89.14平米,https://wh.lianjia.com/chengjiao/104100728558.html,2018.02.28,178万,中楼层(共30层) 2013年建板楼,19969元/平,房屋满两年
金地艺境 4室2厅 122.81平米,https://wh.lianjia.com/chengjiao/104100654673.html,2017.12.02,236万,中楼层(共32层) 2014年建板楼,19190元/平,
金地艺境 2室2厅 88.65平米,https://wh.lianjia.com/chengjiao/104100660265.html,2017.11.22,155万,低楼层(共34层) 2015年建板楼,17485元/平,近地铁
金地艺境 4室2厅 145.14平米,https://wh.lianjia.com/chengjiao/104100597583.html,2017.11.19,289万,中楼层(共34层) 2014年建板楼,19912元/平,
金地艺境 2室2厅 88平米,https://wh.lianjia.com/chengjiao/104100627664.html,2017.10.09,158万,低楼层(共33层) 2014年建板楼,17955元/平,
金地艺境 2室2厅 87平米,https://wh.lianjia.com/chengjiao/104100629363.html,2017.09.30,150万,中楼层(共33层) 2014年建板楼,17242元/平,
金地艺境 2室2厅 87.51平米,https://wh.lianjia.com/chengjiao/104100619808.html,2017.09.23,165万,中楼层(共33层) 2014年建板楼,18855元/平,
金地艺境 3室2厅 107.23平米,https://wh.lianjia.com/chengjiao/104100481501.html,2017.08.25,255万,低楼层(共6层) 2015年建板楼,23781元/平,
金地艺境 3室2厅 107平米,https://wh.lianjia.com/chengjiao/104100560486.html,2017.08.20,252万,高楼层(共6层) 2015年建板楼,23552元/平,
金地艺境 4室2厅 122.88平米,https://wh.lianjia.com/chengjiao/104100475104.html,2017.06.10,200万,低楼层(共30层) 2013年建板楼,16277元/平,
金地艺境 2室2厅 88.8平米,https://wh.lianjia.com/chengjiao/104100382265.html,2017.04.09,135万,高楼层(共34层) 2014年建板楼,15203元/平,房屋满两年
金地艺境 2室2厅 89.2平米,https://wh.lianjia.com/chengjiao/104100340356.html,2017.03.19,133万,高楼层(共34层) 2014年建板楼,14855元/平,房屋满两年
金地艺境 4室2厅 143.8平米,https://wh.lianjia.com/chengjiao/104100322314.html,2017.03.12,236万,中楼层(共34层) 2013年建板楼,16357元/平,近地铁
金地艺境 2室2厅 88.41平米,https://wh.lianjia.com/chengjiao/104100329614.html,2017.03.03,142万,低楼层(共34层) 2013年建板楼,16062元/平,近地铁
金地艺境 4室2厅 125平米,https://wh.lianjia.com/chengjiao/104100351233.html,2017.03.02,210万,高楼层(共30层) 2014年建板楼,16800元/平,
金地艺境 3室2厅 110.04平米,https://wh.lianjia.com/chengjiao/104100137955.html,2016.12.16,165万,中楼层(共34层) 2014年建板楼,14995元/平,
金地艺境 4室2厅 123.18平米,https://wh.lianjia.com/chengjiao/104100145579.html,2016.12.10,202万,中楼层(共30层) 2014年建板楼,16399元/平,
金地艺境 3室2厅 117平米,https://wh.lianjia.com/chengjiao/104100209853.html,2016.11.13,238万,中楼层(共11层) 2014年建板楼,20342元/平,房屋满两年
金地艺境 3室2厅 111平米,https://wh.lianjia.com/chengjiao/104100113652.html,2016.07.22,153万,中楼层(共34层) 2015年建板楼,13784元/平,近地铁
金地艺境 3室1厅 114平米,https://wh.lianjia.com/chengjiao/104100081151.html,2016.06.25,140万,高楼层(共34层) 2014年建板楼,12281元/平,
金地艺境 3室2厅 109平米,https://wh.lianjia.com/chengjiao/104100082905.html,2016.06.12,156万,中楼层(共6层) 2015年建板楼,14312元/平,
金地艺境 4室2厅 138.43平米,https://wh.lianjia.com/chengjiao/104100062809.html,2016.05.10,186万,高楼层(共11层) 2014年建板楼,13422元/平,房屋满两年
金地艺境 3室2厅 111平米,https://wh.lianjia.com/chengjiao/104100021955.html,2016.05.03,130万,高楼层(共34层) 2014年建板楼,11712元/平,近地铁
金地艺境 4室1厅 123.71平米,https://wh.lianjia.com/chengjiao/104100042763.html,2016.04.12,113万,低楼层(共32层) 2015年建板楼,9094元/平,近地铁
